pre,observed
19.55398473,19.36719
19.81117186,19.20313
19.40382821,19.03125
18.71585939,18.84375
19.87117208,18.67969
19.1149221,18.49219
19.63468745,18.54688
21.27484376,19.35938
23.88078091,20.88281
25.23765624,22.10938
23.76062495,22.64063
23.74742212,23.02344
24.41046873,23.39063
24.66226563,23.17188
21.47429685,22.125
21.19562533,20.89844
20.64062497,20.07813
20.71140618,19.64063
20.7544535,19.36719
19.48726536,19.10156
19.11421838,18.85156
20.37968748,18.59375
19.59328127,18.34375
21.88757812,18.17188
20.0042965,18.07031
20.33664028,17.94531
17.78570283,17.78906
17.50523409,17.60156
16.99726523,17.41406
16.40812467,17.22656
18.21609371,17.1875
19.14578126,17.5
20.8603125,17.75
20.01046869,17.5
17.40242178,17.14063
17.88484373,16.875
17.01773436,16.67188
16.98679687,16.48438
16.07195309,16.29688
15.9603125,16.10938
17.0725781,15.92188
16.17210922,15.76563
15.76101558,15.625
15.62921875,15.46875
15.76531239,15.3125
15.10304685,15.15625
15.13523433,15.01563
19.26226562,14.92188
17.14515622,14.8125
16.50484376,14.65625
15.15390617,14.59375
17.4026563,14.60938
17.36859368,14.6875
14.96421875,14.67188
15.28179678,14.5625
14.11171875,14.39063
14.10078125,14.20313
14.0609375,14.04688
13.97,13.90625
13.85078125,13.78125
13.79640625,13.625
13.6415625,13.51563
13.505625,13.39063
13.595625,13.25
14.47914062,13.4375
20.74273435,16.125
28.62140624,24.35938
34.83398442,36.60938
37.75015625,39.375
34.33562498,35.6875
31.29359375,31
27.50890622,27.21875
29.66085937,25.25
24.03296874,24.75
23.178125,23.1875
20.50507806,20.90625
19.15125,18.78125
18.62312503,17.375
19.0364844,16.625
15.8034375,16.03125
17.89156251,15.8125
26.11125,16.90625
25.00351565,20.71875
26.74703123,26.25
29.07015622,27.9375
29.39945317,27.625
26.45492188,27.34375
26.98749995,27.21875
29.21429679,28.8125
36.24109372,35.9375
47.94820307,51.28125
55.3475,60.5
58.46820311,59.28125
56.85476561,56
55.05015624,53.59375
50.42132804,51.90625
49.23968748,48.5
46.96382813,44.96875
38.51046871,42.28125
37.64960935,38.75
36.15171872,35.34375
33.20664062,33.0625
32.12546883,31.75
34.7023437,32.84375
42.9990625,37.5
41.38875001,41.78125
40.29960935,41.625
37.75945312,38.21875
36.11414062,34.4375
27.42601556,31.15625
26.22421875,28.5625
25.97515625,26.9375
26.14492187,26.21875
32.98578124,27.8125
39.16109375,33.5
41.13703123,40.1875
42.61921875,43.1875
44.84273437,42.25
41.05078123,40.5625
40.63062498,39.28125
36.33492186,36.96875
35.02875,34.28125
35.36210933,34.03125
38.41539056,36.5625
34.09648437,36.53125
33.15484374,34.5
32.76898443,33.21875
33.42976561,33.34375
33.35421867,35.34375
43.05210938,41.65625
50.06210938,49.84375
50.56703119,52.25
46.41062496,51.34375
47.46828122,47.3125
43.7453125,42.40625
35.83234372,38.09375
32.8469531,34.5625
32.48828125,31.9375
32.468125,31.5625
38.05992185,38.375
44.32156251,49.6875
51.93125006,51.84375
54.05867178,52.5625
54.175,56.625
53.14679689,59.15625
50.32484375,55.4375
45.05078125,49.84375
39.20484374,44.6875
42.59984375,42.34375
53.0175,48.6875
54.2278125,60.34375
62.98296875,64.34375
77.87671875,77.28125
105.2065625,110.0625
124.891875,128.0625
127.592578,126.625
131.2485937,125.15625
132.1324991,127.625
126.1878125,127.78125
115.9184375,118.15625
101.6235938,106.9375
109.9182813,109.0625
152.6943749,168
256.8367186,298.0625
391.400625,429.125
493.9665625,506.65625
552.95375,564.09375
555.1065625,571.46875
547.4684375,546.21875
531.3378125,520.625
504.7971875,490.0625
502.5846875,486.1875
547.915,555.03125
613.178125,616.15625
639.40625,650.25
650.14875,629.25
604.1278125,577.21875
541.1921875,532.25
510.0175,497.40625
534.653125,525.15625
561.8696875,571.84375
545.9534375,549.78125
498.333125,495.3125
464.3234375,445.5
415.59,404.40625
383.6240625,369.28125
353.6421875,344.15625
332.209375,331.90625
324.1621875,332.90625
316.9721875,318.65625
290.7357814,290.9375
268.672032,264.1875
237.0674998,239.5
225.1121875,219.21875
207.8481241,202.09375
199.2404685,190.53125
214.917031,220.125
269.016562,302.125
321.655,323.375
309.2421875,290.625
269.5101572,258.625
244.1532812,235.40625
222.1498434,216.6875
241.2864051,239.0625
318.6887505,346.46875
414.8996875,440.53125
483.5865625,494.03125
518.9734375,534.15625
510.3153125,510.90625
472.95125,458.4375
404.791875,411.375
361.2509375,371.84375
345.5728125,335.5
304.161094,301.875
264.8057815,270.34375
242.2075,241.71875
212.8192189,218.4375
193.9285939,197.03125
177.6803089,177.57812
160.6334344,160.26562
144.8459376,144.15625
129.6365624,129.71875
117.3039063,116.67188
122.809375,105.45313
107.3570312,96.03125
91.00515625,88.26563
80.0255468,80.84375
74.77734383,73.6875
67.3745313,66.71875
68.3807812,61.10938
65.4496875,57.10938
60.9985937,53.5625
59.15031234,51.01563
56.70742175,49
53.811406,48.64063
57.71015629,52.23438
62.39734377,61.5
71.7796875,74.25
78.72765625,79.85938
90.65304685,81.46875
94.18859375,90.98438
136.7490595,142.64062
221.1503128,234.96875
283.7028122,293.875
284.6523448,287.5
271.8943723,259.20312
247.0984404,248.79688
244.4631218,235.32812
242.6910933,224.53125
239.5329654,223.89062
233.8246875,228
227.3593778,223.73438
221.956253,228.10938
248.0793744,251.5
277.551878,285.79688
281.9885972,285.42188
266.5354718,268.98438
254.1467185,252.34375
250.360468,242.40625
234.6940621,235.1875
228.2020282,221.07812
208.2409375,203.09375
189.7157817,187.15625
178.0914062,184.34375
181.1171842,184.32812
165.3109404,169.98438
145.2553127,153.25
137.0860937,137.90625
122.1754688,124.04688
111.4425,111.5625
97.706875,100.53125
94.26585935,93.96875
87.2575,90.125
75.97249995,82.65625
73.79570298,76.42188
77.77367185,80.20313
88.0803125,90.5
85.0120312,92.35938
79.11242185,85.46875
79.3643751,77.89063
75.47125,71.23438
64.83289063,65.07813
55.41156249,59.48438
49.7328125,54.25
48.08882812,49.48438
43.16687496,45.46875
40.94132809,42.23438
38.93679687,40.01563
38.04460932,38.98438
36.98140591,38.16406
34.37562474,37.35156
34.82898408,37.22656
36.17945313,38.54688
34.3588281,38.57813
33.7880471,37.36719
34.83789059,36.17188
33.74906282,35.24219
33.64906251,34.60938
36.32898404,34.16406
34.08414035,33.78906
32.29023407,33.44531
31.55765593,33.13281
31.13171872,32.78125
29.2016406,32.45313
31.15531249,32.14063
34.21062467,31.94531
36.32187472,31.94531
30.3737503,31.77344
31.71078095,31.38281
34.07492159,31.13281
35.90492187,31.54688
35.14164054,34.4375
37.41984367,39.625
40.99781216,41.22656
37.51703122,39.39063
34.92007843,37.02344
34.65124998,35.45313
37.30328091,35.60156
42.85257782,40.41406
50.69953126,51.8125
54.03648437,56.76563
54.65054655,54.41406
50.6359375,50.26563
44.50578124,45.76563
41.53507848,42.61719
40.40906255,41.82813
39.48140655,41.42969
40.92210933,39.79688
36.28304682,37.82813
35.39320311,36.92188
37.10664059,38.07813
36.0763278,39.19531
39.62414063,38.85938
45.55757779,43.00781
57.24671875,54.53125
67.66273438,66.29688
77.90093915,82.86719
91.12515625,99.96875
94.55484365,95.3125
88.76812345,85.63281
76.48828125,76.53125
68.46390466,70.53906
68.36781148,66.41406
63.39000003,60.45313
55.62578118,54.32813
58.77570314,51.14063
56.94585904,55.22656
58.1228125,61.21875
61.3280472,58.83594
54.75484342,54.66406
61.37039068,60.875
72.26460939,75.70313
71.19273533,76.30469
69.30007655,69.57031
63.05804726,62.24219
57.85921875,55.5
43.788047,49.61719
42.16523406,44.75781
42.35437528,41.14844
41.17648434,38.4375
36.10289089,36.14844
35.84179685,34.39063
34.83273414,33.22656
32.96578126,32.51563
30.88828154,32.05469
31.39695343,31.67969
29.08992154,31.35156
29.67882813,31.03125
28.89742153,30.72656
28.55953093,30.41406
28.41843749,30.09375
28.28179687,29.84375
28.39203123,29.59375
27.81460937,29.35938
28.12929684,29.375
32.48140625,30.48438
31.67164065,31.29688
27.95648435,30.35938
31.2415625,29.90625
37.20554684,34.90625
49.0128125,49.5625
61.99351563,60.78125
67.2090625,58.92188
56.6788281,53.07813
48.94335937,47.26563
40.00054689,42.20313
37.56453125,38.51563
36.84593747,37.54688
36.77703122,38.09375
34.30210939,36.35938
32.78187499,33.75
30.65062501,31.65625
29.24265626,30.28125
27.74890623,29.40625
29.51078125,28.85938
27.92132808,28.46875
26.74078125,28.14063
27.95023436,27.84375
28.22242188,27.67188
28.31742191,27.79688
31.04437499,29.15625
29.47984376,30.625
31.99164062,29.6875
27.83109375,28.32813
28.25632808,27.53125
27.17015623,28.39063
35.92328117,37.96875
53.16390627,59.46875
63.67382809,70.75
68.2678123,67.6875
63.6034375,61.21875
59.58765622,55.8125
61.16765613,58.75
67.81890625,67.9375
70.0271094,70.28125
67.7333593,68.25
64.86132811,62.75
59.35179687,57.84375
58.02304688,57.5
64.4736719,63.5625
68.6271875,69.46875
72.58843745,69.625
81.3354686,82.96875
108.3747657,118.8125
140.7510937,147.5
147.8182813,146.53125
135.0373438,133.28125
131.5926563,125.5625
133.965156,133.65625
140.4103119,146.46875
144.9914064,144.25
141.2430467,143.5
147.140625,151.3125
160.6609375,156.46875
164.7890625,167.9375
167.7226562,174
162.1574999,160.15625
161.5201562,156.46875
169.369375,170.875
186.5728125,191.46875
197.1959375,201.0625
198.396875,195.5
189.4215625,187.25
187.0415625,188.03125
184.5539063,185.0625
166.4353125,171.03125
160.1814063,158.28125
142.2795313,147.6875
134.6498438,136.15625
128.1757812,124
120.2854688,117.9375
111.1717188,114.59375
109.2273438,111.25
108.7709375,112.28125
108.25125,113.21875
121.4689062,120.5
124.6629685,128.75
118.6710937,121.625
112.9975,110.125
99.0928125,99.15625
90.71367165,89.25
81.68,80.34375
79.90140625,72.59375
71.08617215,67.40625
66.09835938,62.875
62.05679688,59.5625
65.28562525,64.375
69.13187505,74.625
72.29984375,72.84375
67.2435938,67.84375
72.2042968,72.0625
101.5086718,110.09375
136.0114062,146.09375
162.9270311,168.375
208.3717188,222.03125
250.4668749,261.4375
271.6084375,266.375
257.665,251.25
242.0817188,234.5
248.644844,249.15625
290.5403122,313.59375
314.17625,334.53125
299.995,294.71875
269.3325,266.21875
265.913125,244.09375
229.2740625,222.375
204.403125,200.84375
176.5296876,181.09375
158.1909375,163.28125
145.0467187,147.25
130.8059374,132.875
121.233125,119.90625
112.5414063,108.96875
119.6775,114.65625
126.820625,128.78125
126.0992188,123.21875
121.1928906,117.25
112.8301563,112.25
110.6060938,105.21875
97.06109375,96.625
90.7696875,88.84375
86.93554685,83.625
91.25421875,86.46875
100.8214061,108.9375
118.8490625,126.84375
139.4603125,140.78125
192.1632802,207.9375
242.0759375,260.03125
255.8917189,252.59375
248.3634375,240.4375
258.54375,255.34375
264.5340625,265.0625
247.4501562,248.5
217.2496875,224.3125
200.5993749,202.5
188.9792191,183.15625
175.6554689,165.5625
158.3964064,151.1875
155.6303124,142.9375
151.0168748,144.28125
175.0307814,179.46875
214.3220312,225.8125
275.2173437,288.21875
349.026875,339.34375
344.855,340.375
349.858125,355.4375
337.24,343.84375
301.949375,301.6875
270.2618752,276.375
261.2707813,261.3125
252.0759376,248.5
247.67875,242.65625
273.3742188,268.09375
302.1115625,289.53125
297.8384375,290.1875
318.978125,328.46875
426.2359375,452.25
532.106875,548.28125
547.4521875,550.4375
534.3528125,519.25
521.1475,504.0625
529.84875,540.8125
553.983125,577.3125
587.835,577.96875
597.4896875,593.4375
614.1028125,619.84375
630.64,654.3125
638.951875,642.15625
616.614375,599.6875
636.6271875,639.125
703.511875,729
763.77375,766.3125
777.6425005,768.1875
824.700313,855
972.5534685,1035.2188
1018.756605,1027.5938
959.7172015,926.15625
939.5246975,916.875
1000.117223,1038.0938
1038.553128,1060.5625
1019.942815,1012.84375
972.7028165,956.78125
939.088142,885.6875
826.0315685,801.75
725.264375,721.40625
646.4703125,649.90625
570.2690625,587.0625
528.219375,530.5
487.23625,479.34375
424.83375,432.59375
393.905,391.8125
383.15625,363.875
335.8309375,338.34375
319.504375,304.90625
291.5601563,278.6875
261.2218754,259.40625
253.6082812,246.5625
234.4415628,233.75
212.4737469,216.14062
191.0856249,196.9375
174.273125,178.09375
161.8840625,160.9375
145.0814083,145.48438
132.4762535,131.92188
120.7173438,119.3125
113.9003121,107.67188
101.7865625,97.07813
94.140625,87.6875
96.1575,81.03125
86.52179685,81.15625
79.89609375,84.09375
75.4582031,82.51563
73.3315625,76.14063
64.62226561,68.98438
59.89093754,62.34375
54.39679684,56.32813
50.49351558,51.14063
48.44328125,46.98438
44.69929688,43.875
45.76898435,41.9375
40.54320313,41.79688
44.78703125,41.875
44.76789065,41.42188
42.66585938,40.95313
41.87093751,43.25
44.73874995,46.96875
44.47046872,46.875
43.47828124,45.875
52.07078125,49.15625
59.22507815,60.875
63.12757813,67.98438
62.36570312,64.82813
57.7721875,59.0625
52.73109375,53.32813
44.23304687,48.71875
44.85804687,45.40625
42.21117188,42.59375
41.26960938,40.14063
39.64507812,38.40625
42.02375,37.39063
37.03531249,36.78125
36.90742188,36.28125
39.1421875,35.84375
35.75429689,35.42188
35.52421875,35.04688
35.42976562,34.71875
34.96367188,34.45313
35.50625006,34.15625
34.79531248,33.84375
35.56007813,33.70313
34.85843746,33.67188
33.23687497,33.875
34.25257811,34.42188
38.51867184,36.54688
35.98437507,39.5
37.26875,38.64063
43.09015624,36.46875
44.27,34.82813
36.34062499,33.76563
32.57210939,32.9375
30.32453131,32.25
29.24179689,31.73438
29.80648435,31.35938
29.13414059,31.01563
29.03789061,30.67188
29.83820313,30.39063
31.64812502,30.10938
31.28328125,29.82813
30.44265627,29.54688
30.97726562,29.28125
29.0235156,29
30.30109381,28.67188
26.51750001,28.35938
26.95562494,28.07813
26.98773432,27.82813
27.40179687,27.59375
26.68671903,27.30469
27.32531278,26.99219
26.94570285,26.72656
26.95960935,26.46875
26.92859405,26.21094
26.14804668,25.94531
26.32859371,25.6875
25.76101535,25.41406
25.01312522,25.14844
25.34148452,24.89844
25.07757811,24.67188
24.67890593,24.53906
25.56953096,24.35156
25.1132031,24.14063
24.8904684,23.94531
25.23499963,23.75781
23.56476529,23.47656
21.6402341,23.19531
22.22976537,22.94531
21.74421879,22.71875
20.93195341,22.49219
21.51624973,22.25781
23.35398439,22.04688
25.00460939,21.89063
23.87445311,21.70313
21.2167969,21.48438
20.83796871,21.28125
21.01687469,21.07031
19.89023437,20.84375
17.9378125,20.625
20.24796872,20.42188
20.24421872,20.25
19.96960909,20.07031
19.85882847,19.86719
20.09031258,19.71875
19.8559371,19.53906
19.56375038,19.30469
21.12343754,19.10938
25.44132792,19.35156
24.36468719,20.85156
27.35437526,23.71094
28.789375,26.79688
28.2450784,27.46094
26.65734374,26.4375
25.85343719,24.75781
23.30937467,22.75781
20.64406251,21.17188
20.07554686,20.23438
19.86242215,19.71094
19.31750031,19.36719
19.87460908,19.10156
19.65531251,19.21875
22.12593744,20.10938
25.50523472,21.96094
24.62078092,22.85156
24.68117186,22.48438
24.56046875,21.96875
23.26148412,22.53906
24.07921885,23.3125
23.92382807,22.9375
27.85398437,22.65625
26.67796876,23.125
27.38429683,24
30.48789032,25.63281
30.36171913,29.83594
41.42515591,40.10156
51.99179649,55.88281
70.02085939,74.23438
89.1969515,99.78906
114.6264858,120.61719
133.1716385,133.47656
140.2379679,138.9375
140.4256229,140.32031
136.2704666,134.10156
128.5148419,121.35156
113.88875,108.82813
103.2042969,97.6875
89.89671875,87.1875
83.5803125,77.57813
74.4419529,68.95313
62.12476533,60.97656
54.38757844,54.33594
47.619375,49.875
48.94484372,47.89063
51.1080472,49.74219
49.40453158,51.39844
48.12757813,47.59375
39.29468718,42.44531
36.67835937,37.92188
35.95499973,34.28906
30.13617188,31.32813
30.56632813,28.96875
28.15843784,27.14844
24.05999996,25.85938
23.30109408,24.99219
24.44617218,24.36719
23.74359397,23.92969
23.88398432,23.85938
25.33968745,23.96875
23.34445283,23.69531
23.4078125,23.26563
23.29749999,22.98438
23.34124999,22.78125
21.80085908,22.57031
20.88656243,22.34375
22.79226593,22.11719
21.56984375,22
22.52015626,23.29688
26.81437499,26.95313
29.00132811,30.375
32.54078124,31.21875
37.82289063,36.21875
47.65539065,49.04688
56.69109375,59.28125
59.39835934,61.6875
57.92984373,57.73438
51.95445323,51.4375
44.55492188,45.23438
38.54601561,39.64063
32.06867191,34.96875
32.59375002,32.84375
34.90054686,33.25
37.68,37.375
40.58484371,42.96875
40.94328125,41.51563
39.28359374,37.07813
34.95249998,32.73438
33.1176562,29.51563
27.77539064,27.29688
23.86859371,25.78125
23.92015624,24.79688
25.93304686,24.20313
24.83062501,24.01563
29.71195308,25.90625
37.11523436,34.32813
49.63703125,47.95313
58.04539064,56.64063
59.41492187,60.6875
70.50835937,73.57813
85.91249977,92.70313
98.97117195,99.90625
95.7971094,97.73438
93.4259375,91.07813
92.2003125,91
92.06515625,91.03125
81.65078125,83.14063
73.8011719,73.98438
65.40624999,65.5
57.5896875,57.9375
55.03351563,51.17188
45.92804687,45.14063
36.26476562,39.85938
33.71328125,35.48438
32.2053125,32.23438
32.69132809,29.92188
30.24328126,28.375
26.34031249,27.3125
23.10546874,26.5625
25.48015625,26.15625
24.35203126,25.875
23.25421874,25.625
24.55726562,25.40625
24.63617188,25.21875
25.00070313,25.03125
23.37421875,24.8125
22.14148441,24.625
22.09734375,24.6875
24.56078127,25.21875
24.59656251,25.3125
25.39281252,26.0625
26.12562501,27.09375
25.70234371,26.875
25.86234375,26.03125
25.60515623,25.25
23.93437499,24.96875
27.25984374,26.53125
29.10898441,30.125
34.39203123,33.5
37.39796875,36.15625
39.69562501,37.59375
57.06406255,49.125
93.98203125,93
146.544375,165.8125
199.248125,200.25
198.2553125,194.375
187.59,180
179.445625,169.46875
175.9440625,169.53125
170.8184377,167.53125
160.3403125,154.0625
146.1835938,140.4375
134.3492185,127.15625
121.2476563,118.53125
134.3014841,132.71875
152.9115632,159.875
175.5281249,177.1875
172.036875,176.6875
161.7378125,160.5625
143.7809371,144.0625
131.3194534,130.53125
131.8173445,131.15625
131.9101569,135.625
137.167813,127.0625
128.9434376,126.6875
122.8798438,129.3125
117.28625,119.25
105.1407813,110.28125
133.7939842,134.375
175.2618743,180.15625
194.3087505,188.1875
191.396875,176.65625
169.502656,162.78125
162.8509372,154.40625
154.5296873,148.90625
144.8234376,141.21875
130.073125,131.5625
120.12375,120.53125
124.2226561,124.3125
145.0260939,146.875
144.3204688,150.71875
136.0617189,138.28125
123.0517188,124.5
113.5735938,112.71875
114.2064063,112.6875
178.4164063,211.875
340.7918746,398.34375
414.944375,429.90625
391.575625,376.78125
336.3578125,331.78125
299.76875,295.15625
269.0575,264.8125
250.9007814,239.4375
223.9035934,212.90625
201.5512496,190.9375
182.2910938,172.5
165.6237498,164.875
185.3474992,180.34375
189.7704687,194.75
183.9904688,189.71875
205.5364053,202.71875
235.1021876,236.53125
256.8248446,263.71875
263.2170314,264.8125
255.1051565,250.59375
236.4675,237.78125
227.7539062,225.28125
213.6325,212.75
195.274063,195.40625
177.7576555,176.65625
162.9576554,159.5
141.0134376,143.5625
130.5551562,130.34375
122.2520313,119.96875
113.6126562,112
104.8989063,103.90625
96.37359375,96.125
93.68335935,92.71875
98.83796875,101.5625
135.9784369,133.25
151.4734375,157.6875
148.7178124,149.59375
135.1425779,135.09375
126.0046874,121.46875
125.8848438,110.65625
114.0890625,104.75
113.725625,108.1875
123.8498435,121.40625
132.2082813,130
130.5014063,129.1875
126.3990625,128.21875
142.3014061,146.25
182.3074994,186.9375
218.6046872,225.15625
245.3510931,245.625
262.1695307,247
229.8535937,231.71875
217.2115627,212.9375
198.9984374,202.15625
185.7168745,190
172.1198434,171.9375
159.4657818,156.28125
139.7740591,143.01562
134.7985939,130.96875
117.0315625,119.71875
108.5710938,108.53125
99.50234375,98.35938
79.39625,89.35938
74.3942187,80.60938
68.38835937,72.57813
62.86,65.51563
55.09843748,59.39063
54.66437502,54.14063
46.97984375,49.71875
44.4634375,45.84375
43.39609375,42.34375
39.104375,39.46875
36.85492185,37.5625
40.16070312,37.28125
40.21546875,39.21875
40.82804684,41.76563
49.42015625,48.48438
57.12296875,62.34375
74.51539067,79.1875
89.9237497,90.29688
93.53296875,93.42188
91.64609375,92.71875
85.71484375,87.85938
100.4870313,101.28125
145.623284,154.48438
195.2353092,199.82812
207.0764064,200.40625
206.3787468,205.32812
198.2446907,201.48438
177.4868782,182.98438
169.9146841,164.57812
146.3881224,148.45312
129.75125,134.25
120.4510937,123.39063
115.2923437,115.82813
114.8932813,114.8125
124.0059375,119.32813
131.151875,120.51563
119.04,117.42188
117.2089063,114.71875
127.8379688,120.3125
122.5995313,124.53125
124.0896874,125.98438
128.9926534,128.01562
126.6521875,123.82813
122.5078125,118.3125
120.7539063,117.1875
115.3792188,119.01563
116.5275,118.73438
130.4798439,129.90625
138.9862498,145.28125
144.0360911,148.26562
145.2020311,147.71875
149.7681283,150.29688
156.9628093,149.76562
157.6806218,142.14062
142.2907813,141.21875
138.6935906,140.64062
